iter	Passed	Remaining
399	78117	58587
400	78360	58428
401	78593	58260
402	78823	58091
403	79045	57914
404	79318	57775
405	79556	57609
406	79739	57404
407	79947	57217
408	80175	57044
409	80417	56880
410	80657	56715
411	80914	56561
412	81136	56383
413	81335	56188
414	81535	55994
415	81750	55810
416	81948	55615
417	82177	55440
418	82425	55278
419	82638	55092
420	82901	54939
421	83155	54780
422	83406	54618
423	83663	54460
424	83899	54287
425	84149	54124
426	84396	53958
427	84614	53773
428	84808	53573
429	85005	53375
430	85205	53178
431	85396	52977
432	85582	52772
433	85796	52584
434	85986	52382
435	86219	52206
436	86442	52023
437	86711	51868
438	86930	51683
439	87110	51474
440	87315	51280
441	87541	51098
442	87729	50894
443	87866	50661
444	88035	50447
445	88187	50223
446	88366	50015
447	88569	49820
448	88726	49599
449	88954	49419
450	89097	49191
451	89246	48967
452	89434	48764
453	89706	48607
454	89903	48409
455	90082	48202
456	90235	47980
457	90427	47780
458	90639	47590
459	90817	47383
460	91000	47178
461	91215	46989
462	91375	46773
463	91559	46568
464	91737	46361
465	91935	46165
466	92171	45987
467	92362	45786
468	92527	45573
469	92697	45362
470	92877	45156
471	93093	44968
472	93266	44759
473	93480	44570
474	93719	44393
475	93891	44184
476	94077	43981
477	94267	43781
478	94464	43583
479	94659	43385
480	94864	43191
481	95048	42988
482	95215	42777
483	95394	42572
484	95585	42373
485	95760	42166
486	95914	41950
487	96102	41749
488	96302	41553
489	96479	41348
490	96678	41152
491	96852	40945
492	97017	40735
493	97182	40525
494	97397	40336
495	97622	40151
496	97855	39969
497	98046	39770
498	98240	39571
499	98411	39364
500	98570	39152
501	98739	38944
502	98917	38741
503	99090	38535
504	99319	38351
505	99562	38172
506	99786	37985
507	100009	37799
508	100215	37605
509	100445	37420
510	100616	37214
511	100788	37008
512	101002	36817
513	101203	36622
514	101376	36416
515	101574	36220
516	101742	36013
517	101914	35807
518	102131	35618
519	102318	35417
520	102492	35213
521	102684	35015
522	102885	34819
523	103076	34621
524	103255	34418
525	103460	34224
526	103670	34032
527	103860	33833
528	104068	33640
529	104295	33453
530	104515	33263
531	104720	33069
532	104912	32871
533	105158	32689
534	105361	32494
535	105570	32301
536	105772	32105
537	105938	31899
538	106113	31696
539	106280	31490
540	106484	31295
541	106649	31089
542	106826	30887
543	107071	30704
544	107317	30521
545	107552	30335
546	107776	30145
547	108007	29958
548	108237	29770
549	108477	29584
550	108725	29401
551	108968	29216
552	109214	29031
553	109460	28846
554	109690	28657
555	109952	28476
556	110204	28292
557	110449	28107
558	110704	27923
559	110932	27733
560	111169	27544
561	111374	27348
562	111584	27152
563	111780	26954
564	111988	26758
565	112204	26564
566	112468	26381
567	112695	26189
568	112878	25987
569	113109	25796
570	113266	25589
571	113451	25387
572	113627	25184
573	113809	24982
574	113985	24779
575	114177	24579
576	114362	24378
577	114567	24182
578	114757	23982
579	114941	23780
580	115149	23584
581	115341	23385
582	115523	23183
583	115762	22993
584	115995	22802
585	116197	22605
586	116373	22402
587	116538	22197
588	116732	21998
589	116884	21791
590	117079	21593
591	117275	21394
592	117494	21200
593	117726	21008
594	117945	20813
595	118179	20621
596	118419	20430
597	118640	20236
598	118816	20034
599	118973	19828
600	119145	19626
601	119334	19426
602	119554	19231
603	119737	19031
604	119908	18828
605	120098	18629
606	120282	18428
607	120494	18232
608	120652	18028
609	120846	17829
610	121049	17632
611	121249	17434
612	121435	17234
613	121605	17032
614	121783	16831
615	121954	16630
616	122143	16430
617	122304	16228
618	122502	16030
619	122725	15835
620	122926	15637
621	123138	15441
622	123325	15242
623	123465	15037
624	123628	14835
625	123823	14637
626	124012	14438
627	124205	14240
628	124399	14041
629	124576	13841
630	124785	13645
631	124906	13439
632	125062	13237
633	125196	13033
634	125350	12831
635	125532	12632
636	125680	12429
637	125823	12227
638	126015	12029
639	126171	11828
640	126337	11628
641	126497	11428
642	126731	11234
643	126926	11037
644	127160	10843
645	127325	10643
646	127497	10444
647	127706	10248
648	127923	10052
649	128186	9860
650	128359	9661
651	128597	9467
652	128844	9273
653	129054	9077
654	129264	8880
655	129510	8686
656	129749	8491
657	129961	8295
658	130208	8100
659	130449	7906
660	130681	7710
661	130937	7516
662	131182	7320
663	131452	7126
664	131665	6929
665	131884	6732
666	132119	6536
667	132371	6341
668	132625	6145
669	132851	5948
670	133091	5752
671	133344	5556
672	133586	5359
673	133815	5162
674	134048	4964
675	134285	4767
676	134519	4570
677	134784	4373
678	135026	4176
679	135285	3978
680	135525	3781
681	135771	3583
682	135999	3385
683	136228	3186
684	136467	2988
685	136720	2790
686	136969	2591
687	137213	2393
688	137465	2194
689	137710	1995
690	137897	1796
691	138166	1597
692	138403	1398
693	138641	1198
694	138879	999
695	139115	799
696	139400	600
697	139636	400
698	139883	200
699	140136	0
