iter	RMSE
119	0.2541230437
120	0.2539980191
121	0.2539483928
122	0.2537759335
123	0.2536902964
124	0.2536048086
125	0.2533947951
126	0.2532873869
127	0.2531667504
128	0.2530186662
129	0.2528889355
130	0.2528509096
131	0.2527578176
132	0.2526684128
133	0.2525614437
134	0.2524210969
135	0.2523181035
136	0.2522366785
137	0.2521593374
138	0.2520526083
139	0.2519419142
140	0.2518075941
141	0.2516362156
142	0.2514646537
143	0.2511081045
144	0.2507710559
145	0.2506678742
146	0.2504984803
147	0.2504137912
148	0.2502636653
149	0.2501715629
150	0.2501573796
151	0.2500556848
152	0.2499780576
153	0.2497703913
154	0.2496615163
155	0.2495836347
156	0.2495006858
157	0.2493954232
158	0.2492459579
159	0.2491626575
160	0.2490695312
161	0.2490455893
162	0.2489225233
163	0.2488915837
164	0.2486846135
165	0.2485362764
166	0.2484821335
167	0.2483692555
168	0.2482191977
169	0.2481552552
170	0.2480286721
171	0.2478564688
172	0.2477311628
173	0.2477065109
174	0.2474601753
175	0.2473445793
176	0.2472689968
177	0.2470918979
178	0.2468965222
179	0.2467935467
180	0.2467491904
181	0.2467164765
182	0.2466498259
183	0.2466055764
184	0.2465035953
185	0.2464765889
186	0.2463085139
187	0.2462216173
188	0.2461453762
189	0.2459470065
190	0.2458687607
191	0.2457190554
192	0.245624674
193	0.245555406
194	0.2455090622
195	0.2453549705
196	0.2452443841
197	0.2451774072
198	0.2450922651
199	0.24502484
200	0.244920348
201	0.2448555981
202	0.244701334
203	0.244636832
204	0.2446101098
205	0.2445349196
206	0.2444446536
207	0.2443425131
208	0.2441942692
209	0.2440720195
210	0.2439730882
211	0.243816226
212	0.2436880056
213	0.2435863976
214	0.2435408839
215	0.2434400894
216	0.2433600407
217	0.2432219604
218	0.2430839701
219	0.243027945
220	0.2428910066
221	0.2428495971
222	0.2428204041
223	0.2427530516
224	0.2427388371
225	0.2426044574
226	0.2425698415
227	0.2424531103
228	0.2424108089
229	0.2423699858
230	0.24228101
231	0.2421314955
232	0.2420726816
233	0.2419692628
234	0.2419350135
235	0.2418571654
236	0.2417093775
237	0.2415557096
238	0.2413867248
239	0.241293108
240	0.241142344
241	0.2411044554
242	0.2409510021
243	0.240776938
244	0.2406184464
245	0.2405498235
246	0.2404938477
247	0.2404623431
248	0.240337768
249	0.2401756276
250	0.2400725305
251	0.2397957273
252	0.2397278724
253	0.2395749389
254	0.2394584931
255	0.2393590379
256	0.2391865652
257	0.2391261482
258	0.239082476
259	0.23903247
260	0.2388815697
261	0.2388044245
262	0.2386708289
263	0.2385284334
264	0.2385149907
265	0.2384465147
266	0.2384268677
267	0.2383277131
268	0.2382145891
269	0.238112071
270	0.2380556013
271	0.2380155641
272	0.2378916281
273	0.23783105
274	0.2377516531
275	0.2377048875
276	0.2376152896
277	0.2375146479
278	0.2374394809
279	0.2373540216
280	0.2372655691
281	0.2371540259
282	0.2370871567
283	0.2370568685
284	0.2369947502
285	0.236971841
286	0.2369308254
287	0.2368345336
288	0.2368227683
289	0.2367083209
290	0.2365824625
291	0.2364453461
292	0.2363622633
293	0.2363377306
294	0.2363158556
295	0.2362496036
296	0.2361113197
297	0.2360743403
298	0.2359432393
299	0.2358638786
300	0.2356592865
301	0.2355555
302	0.2355109361
303	0.2354780441
304	0.2354385601
305	0.2353147804
306	0.2351991899
307	0.2351104664
308	0.2350175111
309	0.2349366954
310	0.2348756429
311	0.234854824
312	0.2348184078
313	0.2347640083
314	0.2346347624
315	0.2345514454
316	0.2344490438
317	0.2343334176
318	0.2342950384
319	0.2341820931
320	0.2341499495
321	0.2340774179
322	0.2339735972
323	0.2339120348
324	0.2338394554
325	0.233765685
326	0.233704886
327	0.2336414909
328	0.2335479084
329	0.233453153
330	0.2333558398
331	0.2333038585
332	0.233271161
333	0.2331898622
334	0.2331751823
335	0.2330884618
336	0.2330292061
337	0.2329820951
338	0.232906202
339	0.2328776016
340	0.2328083338
341	0.2326420212
342	0.2325727232
343	0.2324976813
344	0.2324080302
345	0.232315634
346	0.2322903817
347	0.2322375614
348	0.2322123558
349	0.2321872339
350	0.232103246
351	0.2319349185
352	0.2318677902
353	0.2317992009
354	0.231778575
355	0.231716477
356	0.2316811105
357	0.2315991181
358	0.2315262107
359	0.2314158106
360	0.2313335437
361	0.231268578
362	0.2312199877
363	0.231051655
364	0.2309671726
365	0.2309052241
366	0.2308339396
367	0.2307836694
368	0.2307284788
369	0.2306357397
370	0.2304994014
371	0.2304775776
372	0.2303985653
373	0.2303718303
374	0.2303094856
375	0.2302337115
376	0.2301994904
377	0.2301185236
378	0.2300738721
379	0.2300241075
380	0.23000245
381	0.2299791985
382	0.229924968
383	0.2299030708
384	0.2296022817
385	0.2295806876
386	0.2295135784
387	0.2294512912
388	0.2293476999
389	0.2293045441
390	0.2291983635
391	0.2291788542
392	0.2291326448
393	0.2290802341
394	0.229046045
395	0.2290224097
396	0.2289950136
397	0.2289742013
398	0.2288726819
399	0.2288363986
400	0.228781017
401	0.2287227369
402	0.2285828928
403	0.2285545128
404	0.2284332727
405	0.2283837931
406	0.2283458821
407	0.2283015539
408	0.2282664132
409	0.228218621
410	0.228144502
411	0.2280620671
412	0.2280073237
413	0.2279593541
414	0.2279160798
415	0.2278477655
416	0.2277588935
417	0.2277352403
418	0.2276586356
419	0.2275354948
420	0.2275112444
421	0.2274187294
422	0.2273690577
423	0.2272594955
424	0.2271794084
425	0.2271441884
426	0.2270956822
427	0.2270149896
428	0.2269234503
429	0.2268705622
430	0.2268267955
431	0.2267945097
432	0.2267707289
433	0.2267061026
434	0.2266325879
435	0.2264946969
436	0.226487346
437	0.2264059307
438	0.2263618651
439	0.226315155
440	0.2262308228
441	0.2261952532
442	0.2261842476
443	0.2260831799
444	0.2260035866
445	0.2259516852
446	0.2258752439
447	0.2258511969
448	0.2258325277
449	0.2258168001
450	0.2257569463
451	0.225682488
452	0.2256322848
453	0.2255967476
454	0.2255418132
455	0.2254434366
456	0.2254050777
457	0.2253023866
458	0.225258333
459	0.2252287601
460	0.2251777633
461	0.2251315755
462	0.2250250792
463	0.2249212286
464	0.2248826158
465	0.2248090477
466	0.2247637456
467	0.2246983684
468	0.2246670678
469	0.2245516324
470	0.2244803927
471	0.2244090313
472	0.2243866482
473	0.2242980421
474	0.2242546151
475	0.2242386938
476	0.2241873526
477	0.2241553441
478	0.2240944439
479	0.2240667642
480	0.2240039949
481	0.223935519
482	0.2238954161
483	0.2237855015
484	0.2236892512
485	0.2236372382
486	0.2236066309
487	0.2235511686
488	0.2234795932
489	0.2234348069
490	0.2233938477
491	0.223316614
492	0.2232782817
493	0.2231894186
494	0.2231310807
495	0.223059501
496	0.2230209332
497	0.222988785
498	0.2229125349
499	0.2228683704
500	0.2228272745
501	0.2227679551
502	0.2226854013
503	0.2226202719
504	0.2225905604
505	0.2225795589
506	0.2225110494
507	0.2224932297
508	0.2224184297
509	0.2223475633
510	0.2222624223
511	0.2222161457
512	0.2221481936
513	0.2221139836
514	0.2220646128
515	0.2220010281
516	0.2219338515
517	0.2218650941
518	0.2217758158
519	0.221750166
520	0.2217257164
521	0.2216792948
522	0.2216413056
523	0.2216053131
524	0.2215489768
525	0.2215393688
526	0.2215089167
527	0.2214905543
528	0.2214073437
529	0.2213775442
530	0.2213446675
531	0.2213038195
532	0.2212714908
533	0.2212257608
534	0.2211688703
535	0.2211049869
536	0.2210663363
537	0.2210135986
538	0.2209482989
539	0.2208708997
540	0.2208580696
541	0.220834522
542	0.2207113384
543	0.2206699425
544	0.2206300084
545	0.2205995986
546	0.2205749487
547	0.2205106398
548	0.2204682071
549	0.2204535594
550	0.2204268437
551	0.2203971063
552	0.2203479047
553	0.2202639083
554	0.2201765914
555	0.2201216056
556	0.2200719124
557	0.2199933703
558	0.2199680271
559	0.2198278438
560	0.2198046756
561	0.2197677883
562	0.2196962546
563	0.2196494779
564	0.2195828761
565	0.2195560917
566	0.2195224656
567	0.2194947476
568	0.2194290775
569	0.2194165732
570	0.2193808738
571	0.2193662106
572	0.2193427026
573	0.2192962958
574	0.2192797124
575	0.2192293217
576	0.2191877402
577	0.2191340143
578	0.2191174534
579	0.2191051055
580	0.2190388756
581	0.2189804411
582	0.2189269538
583	0.218909719
584	0.2188987392
585	0.2188592884
586	0.218765751
587	0.2186961956
588	0.2186521583
589	0.218604378
590	0.2185402376
591	0.2185125365
592	0.2184744532
593	0.2184373696
594	0.2183799511
595	0.2183590279
596	0.2183227509
597	0.218292593
598	0.2182260306
599	0.2181934651
600	0.2181788569
601	0.2181658187
602	0.2181482885
603	0.2181369402
604	0.2180883188
605	0.2180101143
606	0.2179643933
607	0.2179417178
608	0.2179246199
609	0.2178910665
610	0.2178443141
611	0.2177842371
612	0.2177546159
613	0.2177085749
614	0.2176430439
615	0.2176064125
616	0.2175027704
617	0.2174643252
618	0.2173951031
619	0.2173710338
620	0.2173110024
621	0.2172630054
622	0.2172161626
623	0.2171311188
624	0.2170778838
625	0.2170503806
626	0.2169582731
627	0.2169192555
628	0.2168493994
629	0.2168197369
630	0.2167706601
631	0.2167329099
632	0.2166539842
633	0.2166056418
634	0.2165973727
635	0.2165690281
636	0.2165432107
637	0.2164942503
638	0.2164654412
639	0.2163978117
640	0.2163506379
641	0.2162932256
642	0.2162494594
643	0.2161761857
644	0.2161112588
645	0.2160556301
646	0.21598465
647	0.2159446365
648	0.2159124455
649	0.2158751672
650	0.2158382483
651	0.2158173924
652	0.2157443747
653	0.2157032428
654	0.215689931
655	0.2156570156
656	0.2155870213
657	0.2155473067
658	0.2154899079
659	0.2154247102
660	0.215336703
661	0.2153177176
662	0.2152808991
663	0.2151846972
664	0.215140625
665	0.2150816316
666	0.2150629993
667	0.2150426532
668	0.2150185567
669	0.2149675589
670	0.2149004335
671	0.2148731386
672	0.2148171277
673	0.2148011143
674	0.21471153
675	0.2146571923
676	0.2146055885
677	0.2145607984
678	0.2145465946
679	0.214493701
680	0.2144721906
681	0.2144004594
682	0.2143649554
683	0.2143560089
684	0.21429828
685	0.2142417463
686	0.2142089589
687	0.2141680259
688	0.2141574487
689	0.2141062579
690	0.2140402737
691	0.2140141298
692	0.2139814166
693	0.2139090815
694	0.2138825812
695	0.2138701473
696	0.2138119848
697	0.2137952672
698	0.213768925
699	0.2137296833
